word,pronunciation,meaning,partOfSpeech,example
should,ʃʊd,"ควร, น่าจะ",modal verb,You should study hard.
small,smɔːl,"เล็ก, น้อย",adjective,It's a small world.
so,soʊ,"ดังนั้น, มาก",adverb/conjunction,I'm so happy.
some,sʌm,"บาง, บางส่วน",determiner/pronoun,I need some help.
take,teɪk,"เอา, นำ",verb,Take this book.
than,ðæn,กว่า,conjunction,She's taller than me.
that,ðæt,"นั่น, ที่",determiner/pronoun,That is my car.
the,ðə,คำนำหน้านาม,article,The sun is bright.
their,ðer,ของพวกเขา,pronoun,This is their house.
them,ðem,พวกเขา,pronoun,I know them well.
then,ðen,"แล้ว, จากนั้น",adverb,First eat then sleep.
there,ðer,"ที่นั่น, มี",adverb,There is a cat.
these,ðiːz,เหล่านี้,determiner/pronoun,These are my books.
they,ðeɪ,พวกเขา,pronoun,They are students.
think,θɪŋk,"คิด, คิดว่า",verb,I think it's true.
this,ðɪs,"นี้, สิ่งนี้",determiner/pronoun,This is my phone.
those,ðoʊz,เหล่านั้น,determiner/pronoun,Those are expensive.
through,θruː,"ผ่าน, ทะลุ",preposition/adverb,Walk through the park.
time,taɪm,"เวลา, ครั้ง",noun,What time is it?
to,tuː,"ไป, เพื่อ",preposition,I'm going to school.
two,tuː,สอง,number,I have two cats.
up,ʌp,"ขึ้น, ข้างบน",adverb/preposition,Look up at the sky.
us,ʌs,เรา,pronoun,Come with us.
use,juːz,"ใช้, การใช้",verb/noun,Use this pen.
very,ˈveri,"มาก, อย่างมาก",adverb,It's very hot today.
want,wɑːnt,"ต้องการ, อยาก",verb,I want some water.
water,ˈwɔːtər,"น้ำ, รดน้ำ",noun/verb,Drink more water.
way,weɪ,"ทาง, วิธี",noun,Which way to the station?
we,wiː,เรา,pronoun,We are friends.
well,wel,"ดี, อย่างดี",adverb/adjective,She speaks English well.
were,wɜːr,เป็น,verb,They were happy.
what,wʌt,"อะไร, สิ่งที่",pronoun,What is this?
when,wen,"เมื่อไหร่, เมื่อ",adverb,When will you come?
where,wer,"ที่ไหน, ที่",adverb,Where do you live?
which,wɪtʃ,"ไหน, ที่",pronoun,Which one do you want?
who,huː,"ใคร, ที่",pronoun,Who is that person?
why,waɪ,"ทำไม, เหตุผล",adverb,Why are you sad?
will,wɪl,"จะ, ความตั้งใจ",modal verb,I will help you.
with,wɪð,"กับ, ด้วย",preposition,Come with me.
work,wɜːrk,"ทำงาน, งาน",verb/noun,I work at a bank.
would,wʊd,"จะ, จะเป็น",modal verb,Would you like some tea?
write,raɪt,"เขียน, เขียนลง",verb,Write your name here.
year,jɪr,"ปี, ปีที่",noun,This year is special.
yes,jes,"ใช่, ครับ",adverb,Yes I agree.
you,juː,"คุณ, เธอ",pronoun,You are kind.
your,jʊr,ของคุณ,pronoun,What's your name?
