word,pronunciation,meaning,partOfSpeech,example
arrange,/əˈreɪndʒ/,จัดเรียง,verb,"Arrange the chairs in a circle"
arrangement,/əˈreɪndʒmənt/,การจัดเรียง,noun,"The flower arrangement is beautiful"
arrest,/əˈrest/,จับกุม,verb,"Police arrested the suspect"
arrival,/əˈraɪvəl/,การมาถึง,noun,"The arrival time is 3 PM"
arrow,/ˈærəʊ/,ลูกศร,noun,"The arrow points north"
artificial,/ˌɑːtɪˈfɪʃəl/,เทียม,adjective,"Artificial flowers last longer"
aside,/əˈsaɪd/,ข้างๆ,adverb,"Put your worries aside"
aspect,/ˈæspekt/,ด้าน,noun,"Consider every aspect of the problem"
assault,/əˈsɔːlt/,การทำร้าย,noun,"He was charged with assault"
assemble,/əˈsembəl/,ประกอบ,verb,"Assemble the furniture carefully"
assembly,/əˈsembli/,การประชุม,noun,"The school assembly starts at 9"
assess,/əˈses/,ประเมิน,verb,"We need to assess the damage"
assessment,/əˈsesmənt/,การประเมิน,noun,"The assessment was fair"
asset,/ˈæset/,ทรัพย์สิน,noun,"Education is a valuable asset"
assign,/əˈsaɪn/,มอบหมาย,verb,"I'll assign you this task"
assignment,/əˈsaɪnmənt/,งานที่ได้รับมอบหมาย,noun,"The assignment is due tomorrow"
assist,/əˈsɪst/,ช่วยเหลือ,verb,"Can you assist me with this?"
assistance,/əˈsɪstəns/,ความช่วยเหลือ,noun,"Thank you for your assistance"
assistant,/əˈsɪstənt/,ผู้ช่วย,noun,"My assistant will help you"
associate,/əˈsəʊʃieɪt/,เชื่อมโยง,verb,"I associate this song with summer"
association,/əˌsəʊʃiˈeɪʃən/,สมาคม,noun,"The teachers' association met today"
assume,/əˈsjuːm/,สมมติ,verb,"Don't assume you know everything"
assumption,/əˈsʌmpʃən/,การสมมติ,noun,"That's a dangerous assumption"
assure,/əˈʃʊə/,รับรอง,verb,"I assure you it's safe"
astonish,/əˈstɒnɪʃ/,ทำให้ประหลาดใจ,verb,"The magic trick will astonish you"
athlete,/ˈæθliːt/,นักกีฬา,noun,"The athlete trained hard"
atmosphere,/ˈætməsfɪə/,บรรยากาศ,noun,"The atmosphere was tense"
attach,/əˈtætʃ/,แนบ,verb,"Attach the file to your email"
attachment,/əˈtætʃmənt/,สิ่งที่แนบ,noun,"Please see the attachment"
attempt,/əˈtempt/,พยายาม,verb,"I'll attempt to fix it"
attend,/əˈtend/,เข้าร่วม,verb,"Will you attend the meeting?"
attendance,/əˈtendəns/,การเข้าร่วม,noun,"Attendance is mandatory"
attitude,/ˈætɪtjuːd/,ทัศนคติ,noun,"She has a positive attitude"
attorney,/əˈtɜːni/,ทนายความ,noun,"Consult with your attorney"
attract,/əˈtrækt/,ดึงดูด,verb,"Flowers attract bees"
attraction,/əˈtrækʃən/,สิ่งดึงดูด,noun,"The main attraction is the castle"
attractive,/əˈtræktɪv/,น่าดึงดูด,adjective,"She's very attractive"
attribute,/əˈtrɪbjuːt/,คุณลักษณะ,noun,"Patience is a good attribute"
auction,/ˈɔːkʃən/,การประมูล,noun,"The painting sold at auction"
audience,/ˈɔːdiəns/,ผู้ชม,noun,"The audience loved the show"
audit,/ˈɔːdɪt/,การตรวจสอบ,noun,"The company had an audit"
author,/ˈɔːθə/,ผู้เขียน,noun,"Who's the author of this book?"
authority,/ɔːˈθɒrəti/,อำนาจ,noun,"He has the authority to decide"
automatic,/ˌɔːtəˈmætɪk/,อัตโนมัติ,adjective,"The door is automatic"
automobile,/ˈɔːtəməbiːl/,รถยนต์,noun,"The automobile industry is huge"
autonomous,/ɔːˈtɒnəməs/,อิสระ,adjective,"The region is autonomous"
avenue,/ˈævənjuː/,ถนนใหญ่,noun,"Walk down Fifth Avenue"
average,/ˈævərɪdʒ/,เฉลี่ย,adjective,"The average temperature is 25°C"
award,/əˈwɔːd/,รางวัล,noun,"She won an award for her work"
aware,/əˈweə/,ตระหนัก,adjective,"Are you aware of the problem?"
awareness,/əˈweənəs/,ความตระหนัก,noun,"Environmental awareness is growing"
awful,/ˈɔːfəl/,แย่มาก,adjective,"The weather is awful today"
