word,pronunciation,meaning,partOfSpeech,example
battery,/ˈbætəri/,แบตเตอรี่,noun,"My phone battery is dead"
battle,/ˈbætəl/,การต่อสู้,noun,"The battle lasted three days"
beach,/biːtʃ/,ชายหาด,noun,"We spent the day at the beach"
bear,/beə/,หมี,noun,"Bears hibernate in winter"
beat,/biːt/,ตี,verb,"Beat the eggs until fluffy"
beauty,/ˈbjuːti/,ความงาม,noun,"The beauty of nature is amazing"
bedroom,/ˈbedruːm/,ห้องนอน,noun,"My bedroom is upstairs"
beer,/bɪə/,เบียร์,noun,"Would you like a cold beer?"
behalf,/bɪˈhɑːf/,ในนาม,noun,"I'm speaking on behalf of the team"
behave,/bɪˈheɪv/,ประพฤติ,verb,"Children should behave well"
behaviour,/bɪˈheɪvjə/,พฤติกรรม,noun,"His behaviour is unacceptable"
bell,/bel/,กระดิ่ง,noun,"The school bell rang"
belong,/bɪˈlɒŋ/,เป็นของ,verb,"This book belongs to me"
belt,/belt/,เข็มขัด,noun,"Fasten your seat belt"
bench,/bentʃ/,ม้านั่ง,noun,"Sit on the park bench"
bend,/bend/,งอ,verb,"Bend your knees when you lift"
benefit,/ˈbenɪfɪt/,ประโยชน์,noun,"Exercise has many health benefits"
bet,/bet/,เดิมพัน,verb,"I bet it will rain tomorrow"
beyond,/bɪˈjɒnd/,เกิน,preposition,"The mountain is beyond the forest"
bicycle,/ˈbaɪsɪkəl/,จักรยาน,noun,"I ride my bicycle to work"
bid,/bɪd/,เสนอราคา,verb,"He bid 100 dollars for the painting"
bill,/bɪl/,ใบเรียกเก็บเงิน,noun,"The electricity bill is high"
billion,/ˈbɪljən/,พันล้าน,number,"The company is worth billions"
bind,/baɪnd/,ผูก,verb,"Bind the papers together"
biology,/baɪˈɒlədʒi/,ชีววิทยา,noun,"I'm studying biology at university"
bird,/bɜːd/,นก,noun,"Birds can fly high in the sky"
birth,/bɜːθ/,การเกิด,noun,"The birth of their baby was joyful"
birthday,/ˈbɜːθdeɪ/,วันเกิด,noun,"Happy birthday to you"
bit,/bɪt/,นิดหน่อย,noun,"Wait a bit longer"
bite,/baɪt/,กัด,verb,"The dog might bite"
bitter,/ˈbɪtə/,ขม,adjective,"This medicine tastes bitter"
blame,/bleɪm/,โทษ,verb,"Don't blame me for the mistake"
blank,/blæŋk/,ว่าง,adjective,"Fill in the blank spaces"
blind,/blaɪnd/,ตาบอด,adjective,"He's been blind since birth"
block,/blɒk/,บล็อก,noun,"Walk two blocks down the street"
blood,/blʌd/,เลือด,noun,"Blood is red and vital for life"
blow,/bləʊ/,เป่า,verb,"Blow out the birthday candles"
board,/bɔːd/,กระดาน,noun,"Write your name on the board"
boat,/bəʊt/,เรือ,noun,"We sailed across the lake in a boat"
bomb,/bɒm/,ระเบิด,noun,"The bomb exploded loudly"
bond,/bɒnd/,สายสัมพันธ์,noun,"There's a strong bond between them"
bone,/bəʊn/,กระดูก,noun,"The dog buried the bone"
bonus,/ˈbəʊnəs/,โบนัส,noun,"Employees received a Christmas bonus"
book,/bʊk/,หนังสือ,noun,"I'm reading an interesting book"
boot,/buːt/,รองเท้าบูท,noun,"Wear boots in the snow"
border,/ˈbɔːdə/,ชายแดน,noun,"Cross the border carefully"
boring,/ˈbɔːrɪŋ/,น่าเบื่อ,adjective,"The movie was really boring"
born,/bɔːn/,เกิด,verb,"I was born in Thailand"
borrow,/ˈbɒrəʊ/,ยืม,verb,"Can I borrow your pen?"
boss,/bɒs/,เจ้านาย,noun,"My boss is very understanding"
both,/bəʊθ/,ทั้งสอง,determiner,"Both answers are correct"
bother,/ˈbɒðə/,รบกวน,verb,"Sorry to bother you"
bottle,/ˈbɒtəl/,ขวด,noun,"Open the bottle of wine"
bottom,/ˈbɒtəm/,ด้านล่าง,noun,"The keys are at the bottom"
bowl,/bəʊl/,ชาม,noun,"Eat soup from a bowl"
box,/bɒks/,กล่อง,noun,"Put the gifts in the box"
boy,/bɔɪ/,เด็กผู้ชาย,noun,"The boy is playing soccer"
brain,/breɪn/,สมอง,noun,"Use your brain to solve problems"
branch,/brɑːntʃ/,กิ่ง,noun,"The bird sat on a tree branch"
brand,/brænd/,ยี่ห้อ,noun,"What brand of car do you drive?"
brave,/breɪv/,กล้าหาญ,adjective,"The firefighter was very brave"
bread,/bred/,ขนมปัง,noun,"I need to buy some fresh bread"
break,/breɪk/,หัก,verb,"Be careful not to break the glass"
breakfast,/ˈbrekfəst/,อาหารเช้า,noun,"Breakfast is the most important meal"
breath,/breθ/,ลมหายใจ,noun,"Take a deep breath"
breathe,/briːð/,หายใจ,verb,"Breathe slowly and relax"
brick,/brɪk/,อิฐ,noun,"The house is made of brick"
bridge,/brɪdʒ/,สะพาน,noun,"Cross the bridge to the other side"
brief,/briːf/,สั้น,adjective,"Give me a brief summary"
bright,/braɪt/,สว่าง,adjective,"The sun is very bright today"
brilliant,/ˈbrɪljənt/,ยอดเยี่ยม,adjective,"That's a brilliant idea"
bring,/brɪŋ/,นำมา,verb,"Bring your passport to the airport"
broad,/brɔːd/,กว้าง,adjective,"The river is broad and deep"
broadcast,/ˈbrɔːdkɑːst/,ออกอากาศ,verb,"The news is broadcast at 6 PM"
brother,/ˈbrʌðə/,พี่ชาย,noun,"My brother is two years older"
brown,/braʊn/,สีน้ำตาล,adjective,"She has beautiful brown eyes"
brush,/brʌʃ/,แปรง,noun,"Brush your teeth twice a day"
budget,/ˈbʌdʒɪt/,งบประมาณ,noun,"We need to stick to our budget"
build,/bɪld/,สร้าง,verb,"They will build a new hospital"
building,/ˈbɪldɪŋ/,อาคาร,noun,"That's the tallest building in the city"
bunch,/bʌntʃ/,กลุ่ม,noun,"A bunch of flowers"
burn,/bɜːn/,เผา,verb,"Don't burn the dinner"
burst,/bɜːst/,ระเบิด,verb,"The balloon burst with a loud pop"
bury,/ˈberi/,ฝัง,verb,"Dogs bury bones in the yard"
bus,/bʌs/,รถบัส,noun,"Take the bus to downtown"
business,/ˈbɪznəs/,ธุรกิจ,noun,"She runs her own business"
busy,/ˈbɪzi/,ยุ่ง,adjective,"I'm too busy to talk right now"
button,/ˈbʌtən/,กระดุม,noun,"Press the red button to start"
buy,/baɪ/,ซื้อ,verb,"I want to buy a new laptop"
buyer,/ˈbaɪə/,ผู้ซื้อ,noun,"The buyer paid cash"
cable,/ˈkeɪbəl/,สายเคเบิล,noun,"Connect the cable to the TV"
cake,/keɪk/,เค้ก,noun,"Birthday cake tastes delicious"
calculate,/ˈkælkjuleɪt/,คำนวณ,verb,"Calculate the total cost"
call,/kɔːl/,โทร,verb,"Call me when you arrive"
calm,/kɑːm/,สงบ,adjective,"Stay calm during the emergency"
camera,/ˈkæmərə/,กล้อง,noun,"Take photos with your camera"
camp,/kæmp/,ค่าย,noun,"We went camping in the mountains"
campaign,/kæmˈpeɪn/,แคมเปญ,noun,"The advertising campaign was successful"
campus,/ˈkæmpəs/,วิทยาเขต,noun,"The university campus is beautiful"
can,/kæn/,สามารถ,modal,"Can you help me with this?"
cancel,/ˈkænsəl/,ยกเลิก,verb,"Cancel the meeting"
candidate,/ˈkændɪdət/,ผู้สมัคร,noun,"She's a strong candidate for the job"
cap,/kæp/,หมวก,noun,"Wear a cap in the sun"
capable,/ˈkeɪpəbəl/,มีความสามารถ,adjective,"She's capable of great things"
capacity,/kəˈpæsəti/,ความจุ,noun,"The stadium has a capacity of 50000"
capital,/ˈkæpɪtəl/,เมืองหลวง,noun,"Bangkok is the capital of Thailand"
captain,/ˈkæptɪn/,กัปตัน,noun,"The ship's captain is experienced"
capture,/ˈkæptʃə/,จับ,verb,"Capture the beautiful sunset"
car,/kɑː/,รถยนต์,noun,"My car needs repair"
card,/kɑːd/,บัตร,noun,"Pay with your credit card"
care,/keə/,ดูแล,verb,"Take care of your health"
career,/kəˈrɪə/,อาชีพ,noun,"She has a successful career"
careful,/ˈkeəfəl/,ระมัดระวัง,adjective,"Be careful when crossing the street"
carefully,/ˈkeəfəli/,อย่างระมัดระวัง,adverb,"Drive carefully in the rain"
carry,/ˈkæri/,ถือ,verb,"Carry the heavy box carefully"
case,/keɪs/,กรณี,noun,"In this case we should wait"
cash,/kæʃ/,เงินสด,noun,"Do you accept cash payment?"
cast,/kɑːst/,โยน,verb,"Cast the fishing line into the water"
cat,/kæt/,แมว,noun,"The cat is sleeping on the sofa"
catch,/kætʃ/,จับ,verb,"Catch the ball with both hands"
category,/ˈkætəɡəri/,หมวดหมู่,noun,"Put books in the right category"
cause,/kɔːz/,สาเหตุ,noun,"What's the cause of the problem?"
celebrate,/ˈseləbreɪt/,ฉลอง,verb,"Let's celebrate your success"
celebration,/ˌseləˈbreɪʃən/,การฉลอง,noun,"The celebration lasted all night"
cell,/sel/,เซลล์,noun,"Plant cells are microscopic"
central,/ˈsentrəl/,กลาง,adjective,"The central park is beautiful"
centre,/ˈsentə/,ศูนย์กลาง,noun,"Meet me at the shopping centre"
century,/ˈsentʃəri/,ศตวรรษ,noun,"We live in the 21st century"
ceremony,/ˈserəməni/,พิธี,noun,"The wedding ceremony was beautiful"
certain,/ˈsɜːtən/,แน่ใจ,adjective,"I'm certain he'll come"
certainly,/ˈsɜːtənli/,แน่นอน,adverb,"I'll certainly help you"
chain,/tʃeɪn/,โซ่,noun,"The dog is on a chain"
chair,/tʃeə/,เก้าอี้,noun,"Sit in the comfortable chair"
chairman,/ˈtʃeəmən/,ประธาน,noun,"The chairman called the meeting"
challenge,/ˈtʃælɪndʒ/,ความท้าทาย,noun,"Learning English is a challenge"
champion,/ˈtʃæmpiən/,แชมป์,noun,"She's the tennis champion"
chance,/tʃɑːns/,โอกาส,noun,"Give me another chance"
change,/tʃeɪndʒ/,เปลี่ยน,verb,"Change your clothes"
channel,/ˈtʃænəl/,ช่อง,noun,"What's on TV channel 3?"
chapter,/ˈtʃæptə/,บท,noun,"Read chapter 5 for homework"
character,/ˈkærəktə/,ตัวละคร,noun,"He's my favorite character"
characteristic,/ˌkærəktəˈrɪstɪk/,ลักษณะเฉพาะ,noun,"Honesty is his best characteristic"
charge,/tʃɑːdʒ/,เรียกเก็บเงิน,verb,"How much do you charge?"
charity,/ˈtʃærəti/,การกุศล,noun,"Donate money to charity"
chart,/tʃɑːt/,แผนภูมิ,noun,"Look at the sales chart"
chase,/tʃeɪs/,ไล่,verb,"The cat chased the mouse"
cheap,/tʃiːp/,ถูก,adjective,"This restaurant is cheap"
check,/tʃek/,ตรวจสอบ,verb,"Check your email"
cheese,/tʃiːz/,ชีส,noun,"I love cheese on pizza"
chemical,/ˈkemɪkəl/,สารเคมี,noun,"Don't mix chemicals"
chemistry,/ˈkemɪstri/,เคมี,noun,"Chemistry is a difficult subject"
chest,/tʃest/,หน้าอก,noun,"He has pain in his chest"
chicken,/ˈtʃɪkən/,ไก่,noun,"Chicken is my favorite meat"
chief,/tʃiːf/,หัวหน้า,noun,"The police chief spoke to reporters"
child,/tʃaɪld/,เด็ก,noun,"Every child deserves education"
childhood,/ˈtʃaɪldhʊd/,วัยเด็ก,noun,"I had a happy childhood"
choice,/tʃɔɪs/,ทางเลือก,noun,"You have many choices"
choose,/tʃuːz/,เลือก,verb,"Choose the best answer"
church,/tʃɜːtʃ/,โบสถ์,noun,"They got married in a church"
cigarette,/ˌsɪɡəˈret/,บุหรี่,noun,"Smoking cigarettes is harmful"
cinema,/ˈsɪnəmə/,โรงภาพยนตร์,noun,"Let's go to the cinema tonight"
circle,/ˈsɜːkəl/,วงกลม,noun,"Draw a perfect circle"
circumstance,/ˈsɜːkəmstəns/,สถานการณ์,noun,"Under these circumstances we can't go"
citizen,/ˈsɪtɪzən/,พลเมือง,noun,"Every citizen has rights"
city,/ˈsɪti/,เมือง,noun,"New York is a big city"
civil,/ˈsɪvəl/,พลเรือน,adjective,"Civil rights are important"
